projectID,Project Status,Project Title,Project Start Date,Project End Date,Project Intensity,Description: ,Funding Type,Contract Status,Link to Project Folder,Project Synopsis Link,Methodology,Link to Digital Well ( Digital Copy?),Location on shelves (Paper Copy?),Non-public Report Link
51,Completed Project,Morris Chamber of Commerce - Publicity intern,2015-01-01,2015-05-31,Low,"The project would involve event planning, marketing and implementation across the entire year. The intern would work with professional staff to create or re-invigorate events and programs that would connect the campus and greater Stevens County through providing and promoting activities that would strengthen student-community relationships and help grow tourism and economic development in the area.",CSC with Bremer,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspR3JNOXNkQkVFZzA,,"Community Support, Convening",,,
52,Completed Project,West Central Minnesota Communities Action - Tax clinic preparer and publicity intern,2015-01-01,2015-05-31,Low,"The VITA program is seeking an intern to work with clients to do tax preparation and benefit screening. This intern will be responsible for completing certification training offered by West Central staff, attending open hours of the VITA site, completing tax returns with clients, completing a benefits screening with the client, and doing the necessary data entry for the households served. Training will be provided in each of these areas. Hours will depend on the availability of the student to commute to the two additional sites that are not in Morris.",CSC w/ community match and Bremer,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspNm9EdWVLeXhzU2c,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspNm9EdWVLeXhzU2c,Community Support,,,
53,Completed Project,SWRSDP - Organizing intern for  tourism event,2014-09-01,2015-05-31,Low,work with the SWSDP director and chair of the Tourism-Resilient Communities work group to provide varied assistance on tourism related activities.,Internal sale,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspNTVEcjJVRDR1Rm8,https://docs.google.com/document/d/1R3cwKHkGt5o0DMn1bmhn77q41fU74e5RJw1tnqp4lw0/edit,Community Support,,,
54,Completed Project,UMVRDC - Blighted Housing Ordinance Case Study,2015-01-19,2015-05-31,Low,"The UMVRDC was interested in compiling case studies on various municipal ordinances dealing with blighted homes. A CST student compiled a list of communities that have ordinacnces and conducted interviews. This information was compiled into a case study for each community that provided the approach, examples of ordinance and recommendations from the city administrator.	",CSC with Community Match,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B14UrYEk1sV6U2ZnSnpZQUpRTzA,,Data Analysis and Research,,,
55,Completed Project,Rural Arts and Culture Summit - From the Ground Up: Cultivating Creative People and Places,2014-09-01,2015-06-30,High,This is the second time that CST is hosting the Rural Arts and Culture Summit. The first time was in 2013. This year's theme will explore the development of arts orgs and initiatives and rural communities and how rural artists can help build place based arts initiatives from the ground up.,"Bremer, RAC Summit",N/A,https://drive.google.com/drive/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6Z25lMFcxNGV6YkU,,Convening ,,,
56,Completed Project,Ken Emo - Student Perceptions of Teaching (FREF),2015-05-11,2015-06-30,Low,"A FREF grant was awarded to Kenneth Emo (Education Faculty member) to study the perceptions of teaching as a career at 6 different universities. The FREF proposal included $1,000 to the Data Services Center to conduct analysis of the completed surveys. CST hired the student to help Engin Sungur at the DSC to conduct the analysis.",ISO,Completed,https://drive.google.com/drive/u/1/?tab=mo#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6N040U0ZhaUYwRm8,,,,,
57,Completed Project,Repurposed School Buildings - Best Practices,2013-09-02,2015-07-31,High,Phase 1 focused on developing an inventory of repurposed schools within 90 miles of Morris. Phase 2 delves deeper into the topic by collecting information about the communities that have repurposed buildings. We will then select good representations of repurposed school buildings in order to conduct interviews with building owners and civic leaders involved in the repurposing efforts.,Bremer,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6YUtReUJLbFNuc2c/0B14UrYEk1sV6NEkzRUkyU3NWUWs/0B14UrYEk1sV6ZUxBS01BaEI5V1k,,Data Analysis & Research,,,
58,Completed Project,"University of MN Extension - Food Access in the Arrowhead Survey
",2015-04-06,2015-07-31,Medium,"The UM will work with the University of Minnesota, Morris’ Center for Small Towns to administer a survey to residents of two communities in Northeast Minnesota. ARDC and Community Health Board will help select research sites. The survey will document rates of food insecurity, problems with food access and different provisioning strategies. ",Grant/ISO,Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6WHdHQk1BNVRsRkU,https://docs.google.com/a/morris.umn.edu/document/d/1T6slz2BmIBMKUAC1XxYaX8xOTXXQebO-UPkZ9qHz3PM/edit,Data Analysis and Research,,,
59,Completed Project,King of Trails,2015-06-08,2015-08-23,Low,"The U of MN RSDPs are searching for one student one student from UM-Morris and one  student from UM-Crookston to work jointly on a project to assist with certain planning, developing and managing components of the “Historic King of Trails” (KoT) Highway 75 Tourism Association: www.highway75.com/. Hwy 75 is an interstate highway that crosses the entire United States and runs the entire length of Minnesota along the extreme western border. The UMM student hired for this project will work directly with staff at the Ortonville Economic border. The UMM student hired for this project will work directly with staff at the Ortonville Economic border. The UMM student hired for this project will work directly with staff at the Ortonville Economic Development Association (the UM-Crookston student will work with the Crookston Chamber of Commerce) who are members of KoT Tourism Association and are serving as the project supervisors.
",Internal Sale,Completed,,,Community Support,,,
60,Completed Project,Extension - Downtown Vacant Building Research Pilot,2014-05-01,2015-08-31,High,"Assist Neil Lindsheid in implementing a survey in one county that will gather information related to downtown buildings that are vacant. The survey will collect cost of building, state of disrepair, asking price for sale and other related information.","CSC, Project combined with Yellow Medicine Data Gathering project",Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6YUtReUJLbFNuc2c/0B14UrYEk1sV6NEkzRUkyU3NWUWs/0B14UrYEk1sV6cHVFdTI0RUszYmM,,Data Analysis and Research,,,
61,Completed Project,Friends of the Minnesota Valley - Publicity intern,2015-01-01,2015-08-31,Medium,"In 2015 Paddle Forward will canoe the entire Minnesota River. Friends of the Minnesota Valley is teaming up with Paddle Forward to promote paddling on the Minnesota River. We are calling our efforts, Paddle the Minnesota with Paddle Forward. Not many people are able to spend several weeks paddling the entire length of the Minnesota River. Many people would like to paddle a small segment, maybe a trip of two-four hours. That is what Paddle the Minnesota with Paddle forward is all about. The primary goal of Paddle the Minnesota Along With Paddle Forward is to raise awareness about the tremendous recreational opportunities available on the Minnesota River.",CSC with Bremer,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6emJ0WXVVTEo2N2c,,"Community Support, Convening",,,
62,Completed Project,SWRSDP - Case study on pools heated w/ solar thermal,2014-09-01,2015-08-31,Low,"research on cities and schools that own and operate swimming pools to determine if they can save energy costs by modifying their heating by including solar thermal for heating; identify communities (city or school-owned) that have pools; contact these communities with the information, tools, resources we have collected; determine how to best reduce energy use.",Internal sale,Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspR1FHeUlnX2ZuQlk,https://docs.google.com/a/morris.umn.edu/document/d/1d9DxpATcX5RpFmrFVuGoH7ay2MxqEeYcG_-pgJJJ88M/edit,Community Support,,,
63,Completed Project,UMM Alumni Survey,2015-01-01,2015-08-31,High,"The University of Minnesota Morris has asked the Center for Small Towns to develop a survey that seeks to obtain information about the current employment and involvement in activities of alumni. This survey is systematic in that it will be conducted annually, but will only survey graduates in five year increments. By obtaining information of graduate classes in five year increments, a story of how UMM graduates’ careers develop over time can be built. In addition, the questions will be tied to the current “First Destination” survey being conducted by Gary Donovan and Jeff Lamberty, which seeks information about employment 9 months after graduation.",Internal Sale,Development,https://drive.google.com/drive/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6X1lSX29ROFZvajQ,https://docs.google.com/a/morris.umn.edu/document/d/1WDeXg1fU--eL3Y5U2nHrOWiYxFHunhpJ4-YPtm2bySc/edit,Data Analysis and Research,,,
64,Completed Project,West Central Minnesota Communities Action - Salary Study,2015-01-01,2015-08-31,High,,External Sale,Completed,https://drive.google.com/a/morris.umn.edu/?tab=co#folders/0B7Z3bhMR5s9YaWtfWDY3TXFWYnc,https://docs.google.com/a/morris.umn.edu/document/d/16GNsaA3EgypPTDOFP8ljj6TvFBUreXTwRBOZTAXGhzg/edit,Data Analysis and Research,,,
65,Completed Project,MnDOT - Bicycle and Pedestrian Monitoring in Greater Minnesota,2015-05-18,2015-08-31,Medium,"The purpose of this project is to assist MnDOT and municipalities, park districts, and other units of  local government in Greater (western) Minnesota with implementaiton of bicylcle and pedestrian traffic monitoring programs. The University is working with MnDOT to develop a statewide monitoring program that includes a limited number of automated continuous monitoring sites (called reference or index sites) and a greater number short-duration monitoringi sites where non-motorized traffic is measured using portable monitoring devices. The UMM student has four main purposes/duties; i) to assist local communities in Greater Minnesota with bicycle and pedestrian traffic monitoring; ii) assist MnDOT and university staff in deployment of portable monitoring devices; iii) assist MnDOT and local communities in analyses of monitoring results; and iv) prepare technical reports and papers summarizing monitoring results.",CSC with Community Match,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6aktRbXhjclBpVkU,https://docs.google.com/document/d/1xfTK8lsUQgcPptQhron5TsTsF-2u-nnuqXwmvkrPn8w/edit,"Community Support, Data Analysis and Research",,,
66,Completed Project,Swift County Restorative Practices - Diverse Populations Strategic Plan Study,2015-05-18,2015-08-31,High,"The main goal is to collect and assess information about diverse populations in Swift County to determine what is currently being done and how effective diverse populations find county government and our partners to be in meeting needs.  This information will be collected by using the methodology outlined in the Morris Intercultural Education Initiative - A Community Needs and Assets Assessment done through the Office of Community Engagement in August, 2014. We seek recommendations to address findings from the study.",CSC with community match,Completed,,https://docs.google.com/document/d/1TI8r6h6Awf-RD8ntOdHslVECPJVf4wS3wcsKts_6gTE/edit,Data Analysis and Research,,,
67,Completed Project,Morris Area Farmers Market,2015-05-25,2015-08-31,Medium,"The MAFM is sekeing a student to assist in building market capacity with the aim of increasing access and availability to fresh, healthy, local foods. The Morris Farmers Market Student Assistant will work closely with the Morris Healthy Eating (MHE) coordinator, Morris Area Farmers Market (MAFM) manager, market vendors, community partners, and customers.  This position includes work on site during market hours, as well as indoor and office-based work.",Foundation,Completed,C:\Users\kbarnstu\Downloads\Morris_Area_Farmers_Market_-2015-07-13.zip,,Community Support,,,
68,Completed Project,Yellow Medicine County EDA - Data Update,2015-05-18,2015-12-15,High,"The intent of this Initiative is to establish a process to encourage Economic Development in the County. This particular request is to allow for the completion of the first phase of the project; which is updating the 2005 Strategic Plan so the participants have current information as a basis for discussions. The first phase of our project is to update the Economic Development information included in the 2005 Yellow Medicine County Strategic Plan. The UMM Student would be responsible for researching and collecting current data, then putting it in written formats that best convey the information.",CSC with community match,Development,,,,,,
69,Completed Project,Hoffman EDA - Planning for 125th Anniversary,2014-09-01,2015-12-31,Medium,A student will assist the Hoffman EDA in planning for the City of Hoffman's 125th/150th anniversary.,"Bremer, FWS, Funded by External Sales, community match",Completed,https://drive.google.com/drive/#folders/0B14UrYEk1sV6a2g5TXo2em90M28/0B14UrYEk1sV6eTBmbVNKTS1rLTA/0B14UrYEk1sV6aURQUFlSY0RFaWM/0B9Y7pPQckOspYnd1YWcxUW9XNWc,https://docs.google.com/a/morris.umn.edu/document/d/1Gk8SRqkTJPQLz1m8E6obbGZxfNbuigTVlv8OT1W81ig/edit,Community Support,,,
70,Completed Project,Central Minnesota Ecotourism - (Green Island) Ecotourism Inventory,2015-01-01,2015-12-31,High,"CST will assist Green Island with developing eco-tourism in Wadena County by providing an inventory of areas with ecological importance within the county. The student will contact government agencies, organizations, and researchers related to ecology in the county.","CSC with Bremer, FWS, Envrionmental Studies Internship (Cargill Grant)",Completed,https://drive.google.com/a/morris.umn.edu/?tab=co#folders/0B7Z3bhMR5s9Yd2ctRTNLNFpqOTg,https://docs.google.com/a/morris.umn.edu/file/d/0B7Z3bhMR5s9YREZGd1JTay1KQjQ/edit,Data Analysis and Research,,,
71,Current Project,Adapation of Adult Latinos without Children Interview Transcription/Translation Assistance,2015-09-01,2015-12-31,Low,"The Center for Small Towns has partnered with Dr. Nina Ortiz to support her ongoing research with the Morris Latino community. The object of this research is to explore the bidirectional adaptation process of Latino immigrants without children in the Morris community. The project will focus on the experiences of immigration from the perspective of Latino adults who immigrate without their children or who do not have children. This project will consider how the immigration process occurs in the rural context and how it relates to immigrants’ sense of self, community belonging, and experiences with local institutions such as medical service providers, churches, and educational programs. Project interviews were completed in spring 2015. The interviews are in queue for transcription, coding, and analysis. Dr. Ortiz has requested a student intern to assist with this stage of the project.",,,,,,,,
72,Completed Project,Mankato Area Youth Rural Strings Outreach,2015-09-01,2015-12-31,Medium,"MAYSO is currently exploring the development of a rural strings outreach program that would expose children from a variety of backgrounds  to violin, viola, cello, and bass. MAYSO is seeking a student intern to help research model programs and funding opportunities as well as assist with developing a sound project proposal. Many small town communities do not have a strings education program. MAYSO hopes to inspire a wider interest in orchestral music, assess parental and teacher interest in creating a viable rural strings program, and, in the long-term, increase the number of students playing in orchestras such as North Star Strings and MAYSO.",,,,,,,,
73,Completed Project,Primewest Health - Provider Satisfaction Survey,2015-05-12,2015-12-31,High,"Update, implement and analyze a satisfaction survey for PrimeWest Health's Health Provider Services Unit. The survey will be online and in paper format (need to design and send a paper survey).",External Sale,Development,https://drive.google.com/drive/#folders/0B7Z3bhMR5s9YUXNSSS1Wc1lITGM/0B7Z3bhMR5s9YQmhVX1Y4Wi14UUE,,Data Analysis and Research,,,
74,Current Project,Pioneer Public Television 50th Anniversary Documentary,2015-09-01,2016-05-06,Low,"Given the cultural and economic significance of resorts in Otter Tail County, it is important to better understand the implications of their decline. The purpose of this project is to 1) better understand why resorts are closing, 2) examine the economic impact of the declining resort industry in Otter Tail County, and 3) identify strategies for curbing the decline of resorts and/or mediating the impact of their disappearance.",,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6bEhDUUJlTXowSWM,,,,,
75,Current Project,CST Data Page,2014-05-15,2016-05-13,Medium,"Until recently, CST had a data website on which users could search for a particular county, community, or township and get the population values dating back to 1900, as well as various economic and demographic information. This website will be updated to include 2010 census data as well as utilize the Shiny package from ""R"" statistical software allowing users to chart and graph these numbers in various ways. ","Bremer Grant, Funded by External Sales",Completed,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B2f049IuLvUieFkyU01sbTJ2LUk,https://docs.google.com/a/morris.umn.edu/document/d/1wL1uQxG3L-9g0M0BeVb0QnuFJDeEnQC77Noa9PHW8uA/edit,Data Analysis and Research,,,
76,Current Project,Rural Migration Listserv,2014-07-01,2016-05-31,Low,"The Center for Small Towns set up a list serv for people in the rural development industry to share stories, research, and anecdotes about rural migration. CST will send out weekly posts containing relevant articeles, organize guest posts, and send out relevant research related to migration.",No funds used,N/A,https://drive.google.com/drive/u/2/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6bGRDN29ERkxLWXM,https://docs.google.com/a/morris.umn.edu/document/d/1JRI5zfbTofIJpRWorWWaU0fnK2eNfMGqaIJ1f-tsoXQ/edit#,"Convening, ",,,
77,Current Project,MTurk & Survey Options - Volunteerism for Local Government Survey,2015-09-01,2016-05-31,Low,,Bremer,N/A,https://drive.google.com/drive/folders/0B7Z3bhMR5s9YOVNxQmFLZFZ1bEU,,Data Analysis and Research,,,
78,Current Project,Big Stone Lake Transformation - Water Plant to Art Community Center,2016-01-19,2016-05-31,Low,"The Big Stone Arts Council owns the water plant building and is currently involved in design, business planning and are ready to embark on a fund raising campaign.  When completed, our organization will oversee the everyday workings of facility. The specific project we would utilize an intern for is to research similar facilities and assist in the development of a business plan for the operation of the building. ","SWRDSP (CSC), Bremer Grant",Completed,https://drive.google.com/open?id=0B14UrYEk1sV6SFdPc1NsbWw2Ylk,https://drive.google.com/open?id=1ckI4CXQu_wMwe-U5DkbepfcEczIiommNQ4mWi5DfSlg,,,,
79,Current Project,Morris Model,2016-01-19,2016-05-31,Low,,Carter Partnership,Completed,,,"Convening, Direct Support",,,
80,Current Project,Otter Tail County - Profile of Resorts,2016-01-19,2016-05-31,Medium,"In the late 1800’s and early 1900’s, resorts started popping up among Otter Tail County’s wooded hills and 1,048 crystal clear lakes. Those early resorts are responsible for much of the County’s early infrastructure and economic development. Today, tourism and hospitality remain Otter Tail County’s second largest industry. However, resorts are disappearing. Since 1985, over 50% of Otter Tail County’s resorts have closed.","CRSDP (CSC), Bremer Grant, Otter Tail Country Tourism",Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6QzZCNHE3SlYwSU0,https://drive.google.com/open?id=1XbJGYFvMsqDlocWA8J4v6miF9flOt3dASBMy-6TsJHo,Research,,,
81,Current Project,MinnWest Greenhouse Intern,2016-02-01,2016-05-31,Low,"The MinnWest TEchnology Campus is located in Willmar MN and currently has a greenhouse growing local foods that is distributed to the downtown Wilmar food hub. An intern is needed to servure and organize volunteers for greenhouse and food related work, organize records on inventory and sales, and prepare and complete tasks within the greenhouse",SWRSDP - ISO,Completed,https://drive.google.com/open?id=0B14UrYEk1sV6WUtEckt3VTh4NW8,https://docs.google.com/document/d/18gt0ms5ugeTHF4jPihuZREpa8ZtRUogkK_Txsp6-aKo/edit,Direct Support,,,
82,Current Project,UMVRDC Food System Assessment and Planning,2016-02-01,2016-05-31,Low,"The UMVRDC is assessing the potential opportunities and challenges supporting local foods in their region. The intern will work with Ryan Pesch to implement an assessment of local foods in the region. This includes compiling data from National Ag Statistical Service for counties in the region, updated the foodshed calculator, comb existing directories and web to ID growers, and make measurements of food market through consumer expenditure survey data.",SWRSDP - ISO,Completed,https://drive.google.com/open?id=0B14UrYEk1sV6U0Z2NkgyQ0ZQY0E,https://docs.google.com/document/d/1XpFaLuVHfVqRDslEG-9oyJIVOVy6tEfz2WzJj5npOtU/edit#heading=h.z312wco7mbai,Direct Support,,,
83,Current Project,Data Capacity Development,2015-08-24,2016-05-31,Medium,"The Center for Small Towns provides data compilation and analysis services to a number of communities, counties, and organizations each year. For example, the Yellow Medicine County Economic Development Authority (YMC EDA) is working with CST to update the data contained in its strategic plan; currently, CST is gathering publicly available data, as well as local data, and updating the information contained in the old strategic plan. Other counties are in need of similar demographic and employment data; thus, the work on YMC EDA may serve as a model data analysis service/product. Other projects may focus on design and creation of surveys and/or generating summary reports.
",,N/A,,,,,,
84,Current Project,Morris Healthy Eating,2015-09-01,2016-05-31,Low,"Morris Healthy Eating advances program, policy, and physical environment changes to foster healthy eating, wellness, and related learning, while working to make fruits, vegetables and other healthy foods more available on the University of Minnesota, Morris campus, in Morris, and in Stevens County.The student intern will be responsible for: assisting the MHE Coordinator in planning, developing, implementing, publicizing and documenting food­ related projects on campus and in the community; assisting in developing and disseminating media content;  and assisting in engaging U of M Morris students, faculty and staff, and community members in food ­related initiatives and projects.",,Development,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6YkxFRkJRdThMU2c,,,,,
85,Current Project,Office Assistant ,2015-09-01,2016-05-31,Low,"The Center for Small Towns, Office of Community Engagement, and Office for Sustainability comprise the outreach units of the University of Minnesota, Morris and are co-located on the second floor of the Welcome Center. The front desk is the “first face” of these offices and the student office assistant plays a key role in setting a welcoming, professional tone.",,,,,,,,
86,Current Project,SWRSDP Programming Assistant,2015-09-01,2016-05-31,Low,"The Southwest Minnesota Sustainable Development Partnership is a citizen-driven Board of Directors working with citizens in the region to create and sustain healthy ecosystems, strong local economies and vibrant, self-reliant communities. They seek a student to assist Executive Director David Fluegel in various projects within the office, located at the West Central Research and Outreach Center.",,,,,,,,
87,Current Project,WCMCA FAIM,2016-01-18,2016-05-31,Low,"WCMCA is the grantee of the federal Asset For Independence grant and state funds for the Family Assets for Independence in Minnesota (FAIM). The FAIM program serves working low-income throughout Minnesota. Part of the administrative requirements of this grant is a formal evaluation of the program, including effectiveness and return on investment throughout the state. WCMCA is working with the University of Minnesota's Dr. Catherine Solheim to design, implement, and report on the evaluation. However, the statewide network is seeking a student to work with WCMCA, the statewide FAIM network, and Dr. Solheim to carry out the evaluation. This may include administering surveys to former FAIM participants; research on business valuation, salary surveys, and real estate; and data analysis (with assistance and training) of participants' demographic information, savings rates, participation in coaching activities, etc.",,,,,,,,
88,Current Project,Atwater: Safe Disposal of Medications Program,2016-01-19,2016-05-31,Low,"Atwater Help for Seniors (AHfS) has contacted Center for Small Towns in an effort to establish a fully compliant and functional drop off facility in Atwater (targeted at senior citizens but available to all) for the safe disposal of prescription and over-the-counter medications. 
This student position is responsible for researching State regulations surrounding medication disposal, organizing a medication drop-off site in Atwater and/or the surrounding areas, publicizing the program, and evaluating the first months of the programs’ lifespan 
",,Development,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6UmJyVnJZOW13Qjg,,,,,
89,Current Project,Grant County 4-H Youth Development,2016-01-19,2016-05-31,Low,"Grant County 4-H has determined that K-8 youth (specifically middle school youth) in rural areas at the edge of school districts and the borders of the county are not be reached by youth programs. A need for increased marketing efforts to better explain the benefits of 4-H programming and increase access/visibility of 4-H programs was determined as well. 
To provide more 4-H opportunities for area students, Grant County has partnered with CST to give a student intern an opportunity to plan and implement after-school programs or non-school-day programs for youth in grades K-8, develop promotions for programs, and be involved in completing a Youth Program Quality Assessment.  They will have the opportunity to develop skills such as planning, problem solving, decision making, and working with volunteers.",,Development,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6WGwxQ3pLWDlwdU0,,,,,
90,Current Project,Pomme de Terre Foods - Customer Survey,2016-01-19,2016-05-31,Medium,"Pomme de Terre Foods (PdT) has contacted Center for Small Towns in an effort to better inform [their] decision making process by completing a community survey to determine where to focus [their] resources. CST will aid Pomme de Terre Foods in developing, distributing, and analyzing an electronic and paper survey to collect information from current and potential customers.",,Completed,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6MFdtQ3I3WDZDNkE,,,,,
91,Current Project,Red Rock Lake,2016-01-19,2016-05-31,Low,"Red Rock Lake is located in Douglas County, Minnesota near the town of Hoffman. The Red Rock Lake Association is concerned about water quality and the future of Red Rock Lake and seeks information on how to protect the lake and make it cleaner for current and future generations to enjoy. As a first step, the Association would like to better understand the condition of the lake as well as organizations, laws or regulations that may apply to the lake. The Association is therefore in search of an intern with a background in water resources to compile and make accessible relevant information on laws, regulations, and water usage and water quality in and around Red Rock Lake.",,Development,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6MVNKSHJSTEFNU2s,,,,,
92,Current Project,Unspoken Voices - Survey,2016-01-19,2016-05-31,Medium,"Unspoken Voices is creating a Culturally Sensitive, Research Based Bystander Intervention & Consent Training Program. This program will be informed by the cultural needs and sensitivities of the Latin@ population and the LGBTQ community. This project will be conducted with multiple groups including, but not limited to: providers of services for survivors of sexual assault and violence, the Latin@ population of Morris MN and the surrounding rural area, as well as law enforcement. We will utilize existing connections to these communities to conduct authentic engagement and solicit honest feedback about bystander-intervention programs using a combination of public forums, one-on-one interviews, online and paper surveys, as well as consultation with several “champions” from these communities who will be defined through the course of the project. At this stage of the project, the student assistant will focus on the development of the on-line survey instrument and initial descriptive statistical analysis. ",,Development,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6N2VXN2N1SVM2T0E,,,,,
93,Current Project,Wadena County Historical Society - Downtown Commercial District Research,2016-01-19,2016-05-31,Low,"The current city of Wadena was established when the Northern Pacific Railroad arrived in 1871. The original townsite consisted of 20 blocks, four on the north side of the tracks and 16 on the south. From the earliest days of Wadena, businesses began expanding along the corridors that connected the city with nearby towns. This historic city wants to compile information about the buildings in the downtown commercial district of Wadena, MN, particularly those that were there 100 years ago when the Jefferson Highway auto-route came to Wadena. This information will be used to determine if the downtown commercial district of Wadena, MN could be eligible for listing on the historic register. 
",,Development,https://drive.google.com/drive/u/1/folders/0B14UrYEk1sV6MWJSZkNUNjFGRnc,,,,,
94,Current Project,21st Century Learning Center Grant (Traverse County After-School STARS Program),2016-02-01,2016-05-31,Low,"STARS (Striving Towards Academic Responsibility & Success) serves 5-8th grade students in Traverse County (Browns Valley and Wheaton Area schools) with after school programs, summer camps and field trips. STARS has four primary goals: (1) increase the academic performance of participating students who are low performing/failing or at high risk of failure in core academic areas; (2) increase school and community contentedness of participants; (3) increase participants' opportunities to develop and apply 21st century skills; and (4) increase family involvement in their children's education. Traverse County has partnered with CST to hire a youth development specialist assist with programs, services and activities that prepare youth for success; promote safety of members and quality of programs at all times and provide guidance and role modeling to members at the Wheaton site.",,,,,,,,
95,,NASS Office Assistant,2016-03-01,2016-05-31,,"The office assistant position provides a student an opportunity to work with all Center for Small Towns staff members on a wide range of activities. Duties for this position include, but not limited to: assisting the Principle Accounts Specialist in maintaining organization and upkeep of office supplies and files; working with program staff to conduct data entry for various survey projects; working with program staff to conduct data entry for various survey projects; assisting all staff in searching for background information related to various community projects and issues.",,,,,,,,
96,Current Project,Climate Change and Community Engagement,2014-09-01,2016-06-30,Medium,"In Spring 2014, the Jefferson Center hosted a successful dialogue in Stevens County focused on community preparedness for a changing climate. Using a citizens jury process, the Jefferson Center was able to bring together a diverse group of people to listen to experts regarding the various opportunities and threats surrounding the impacts climate change will have on the community. From this group, a list of recommendations were developed. This project will carry forward those discussions through 3 phases: 1) re-engage the initial group from the Jefferson Center dialogue; 2) with their assistance, develop another convening that brings in some of the experts they heard and invite/engage with alumni from the various leadership groups in Stevens County; 3) form groups and implement recommendations from the Jefferson Center dialogue with the expmanded volunteer base.","Bremer, MPCA Environmental Assistance Grant (Office of Sustainability)",N/A,https://drive.google.com/drive/u/1/#folders/0B14UrYEk1sV6U1hDbm5RQ0hsNEE/0B14UrYEk1sV6QllVa3liRVNSQ2s/0B14UrYEk1sV6X3RfcUNnUFZPRm8/0B14UrYEk1sV6RlRCUDA5OG1RSUk,https://docs.google.com/a/morris.umn.edu/document/d/165euyifIRDOROutdH4p7uRURZ-qMKgb9XiMo8Z3pt70/edit,,,,
97,Current Project,Center for Small Towns Publicity,2012-09-01,2016-06-30,High,The responsibilities of the student in this 'project' include working with all aspects of CST writing up press releases conducting interviews attending staff meetings and other work that may need to be done. ,"CST, MSAF",Completed,https://drive.google.com/a/morris.umn.edu/?tab=mo#folders/0B7ucJnzswAUGQjNIalBNcjJBRkk,,Internal,,,
